"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Amazonia","Amazonia","Estudios Amazonicos","Doctorado",3
"Amazonia","Amazonia","Estudios Amazonicos","Especializacion",28
"Amazonia","Amazonia","Amazonia","Especializacion",2
"Amazonia","Amazonia","Estudios Amazonicos","Maestria",61
"Amazonia","Amazonia","Amazonia","Maestria",13
"Bogota","Artes","Arte Y Arquitectura","Doctorado",22
"Bogota","Artes","Fotografia","Especializacion",185
"Bogota","Artes","Diseño Y Desarrollo Del Producto","Especializacion",161
"Bogota","Artes","Pedagogia Del Diseño","Especializacion",127
"Bogota","Artes","Animacion","Especializacion",125
"Bogota","Artes","Artes","Especializacion",111
"Bogota","Artes","Educacion Artistica Integral","Especializacion",72
"Bogota","Artes","Instrumentos De Ordenamiento Urbano - Regional","Especializacion",19
"Bogota","Artes","Diseño Urbano","Especializacion",1
"Bogota","Artes","Escrituras Creativas","Maestria",450
"Bogota","Artes","Interdisciplinaria En Teatro Y Artes Vivas","Maestria",166
"Bogota","Artes","Musicoterapia","Maestria",128
"Bogota","Artes","Artes","Maestria",127
"Bogota","Artes","Construccion","Maestria",111
"Bogota","Artes","Diseño Urbano","Maestria",99
"Bogota","Artes","Arquitectura","Maestria",88
"Bogota","Artes","Artes Plasticas Y Visuales","Maestria",86
"Bogota","Artes","Educacion Artistica","Maestria",76
"Bogota","Artes","Museologia Y Gestion Del Patrimonio","Maestria",75
"Bogota","Artes","Urbanismo","Maestria",68
"Bogota","Artes","Historia Y Teoria Del Arte, La Arquitectura Y La Ciudad","Maestria",67
"Bogota","Artes","Ordenamiento Urbano-Regional","Maestria",54
"Bogota","Artes","Direccion Sinfonica","Maestria",47
"Bogota","Artes","Habitat","Maestria",34
"Bogota","Artes","Conservacion Del Patrimonio Cultural Inmueble","Maestria",29
"Bogota","Artes","Diseño","Maestria",22
"Bogota","Artes","Pedagogia Del Piano","Maestria",21
"Bogota","Artes","Arquitectura De La Vivienda","Maestria",20
"Bogota","Artes","Musicologia","Maestria",17
"Bogota","Artes","Diseño Multimedia","Maestria",15
"Bogota","Artes","Interpretacion Y Pedagogia Instrumental","Maestria",6
"Bogota","Artes","Comunicacion Y Medios","Maestria",3
"Bogota","Artes","Arquitectura","Pregrado",990
"Bogota","Artes","Diseño Industrial","Pregrado",690
"Bogota","Artes","Artes Plasticas","Pregrado",489
"Bogota","Artes","Diseño Grafico","Pregrado",459
"Bogota","Artes","Musica Instrumental","Pregrado",406
"Bogota","Artes","Artes","Pregrado",345
"Bogota","Artes","Cine Y Television","Pregrado",343
"Bogota","Artes","Musica","Pregrado",73
"Bogota","Artes","Diseño Y Desarrollo Del Producto","Pregrado",4
"Bogota","Artes","Fotografia","Pregrado",1
"Bogota","Ciencias","Quimica","Doctorado",103
"Bogota","Ciencias","Biologia","Doctorado",65
"Bogota","Ciencias","Fisica","Doctorado",50
"Bogota","Ciencias","Matematicas","Doctorado",42
"Bogota","Ciencias","Biotecnologia","Doctorado",32
"Bogota","Ciencias","Ciencias","Doctorado",28
"Bogota","Ciencias","Ciencias Farmaceuticas","Doctorado",27
"Bogota","Ciencias","Estadistica","Doctorado",16
"Bogota","Ciencias","Geociencias","Doctorado",12
"Bogota","Ciencias","Bioquimica","Doctorado",5
"Bogota","Ciencias","Estadistica","Especializacion",299
"Bogota","Ciencias","Ciencia Y Tecnologia Cosmetica","Especializacion",125
"Bogota","Ciencias","Ciencia Y Tecnologia De Alimentos","Especializacion",96
"Bogota","Ciencias","Ciencias","Especializacion",63
"Bogota","Ciencias","Metodos Estadisticos Basicos","Especializacion",26
"Bogota","Ciencias","Actuaria","Especializacion",16
"Bogota","Ciencias","Ciencias Fisica","Especializacion",3
"Bogota","Ciencias","Fisica","Especializacion",1
"Bogota","Ciencias","Enseñanza De Las Ciencias Exactas Y Naturales","Maestria",720
"Bogota","Ciencias","Biologia","Maestria",296
"Bogota","Ciencias","Quimica","Maestria",288
"Bogota","Ciencias","Fisica","Maestria",251
"Bogota","Ciencias","Ciencias","Maestria",198
"Bogota","Ciencias","Microbiologia","Maestria",174
"Bogota","Ciencias","Matematicas","Maestria",161
"Bogota","Ciencias","Estadistica","Maestria",130
"Bogota","Ciencias","Ciencias Farmaceuticas","Maestria",104
"Bogota","Ciencias","Geofisica","Maestria",83
"Bogota","Ciencias","Bioquimica","Maestria",81
"Bogota","Ciencias","Farmacologia","Maestria",73
"Bogota","Ciencias","Geologia","Maestria",73
"Bogota","Ciencias","Fisica Medica","Maestria",69
"Bogota","Ciencias","Matematica Aplicada","Maestria",49
"Bogota","Ciencias","Meteorologia","Maestria",46
"Bogota","Ciencias","Astronomia","Maestria",43
"Bogota","Ciencias","Matematica","Maestria",42
"Bogota","Ciencias","Actuaria Y Finanzas","Maestria",38
"Bogota","Ciencias","Ciencia Y Tecnologia De Alimentos","Maestria",16
"Bogota","Ciencias","Bioestadistica","Maestria",4
"Bogota","Ciencias","Farmacia","Pregrado",1062
"Bogota","Ciencias","Biologia","Pregrado",828
"Bogota","Ciencias","Geologia","Pregrado",608
"Bogota","Ciencias","Quimica","Pregrado",512
"Bogota","Ciencias","Fisica","Pregrado",497
"Bogota","Ciencias","Estadistica","Pregrado",474
"Bogota","Ciencias","Matematicas","Pregrado",376
"Bogota","Ciencias","Ciencias","Pregrado",357
"Bogota","Ciencias agrarias","Ciencias Agrarias","Doctorado",44
"Bogota","Ciencias agrarias","Agroecologia","Doctorado",12
"Bogota","Ciencias agrarias","Agronomia","Doctorado",6
"Bogota","Ciencias agrarias","Ciencia Y Tecnologia De Alimentos","Especializacion",92
"Bogota","Ciencias agrarias","Cultivos Perennes Industriales","Especializacion",89
"Bogota","Ciencias agrarias","Agronomia","Especializacion",25
"Bogota","Ciencias agrarias","Desarrollo Rural","Especializacion",7
"Bogota","Ciencias agrarias","Horticultura","Especializacion",1
"Bogota","Ciencias agrarias","Ciencias Agrarias","Maestria",228
"Bogota","Ciencias agrarias","Ciencia Y Tecnologia De Alimentos","Maestria",95
"Bogota","Ciencias agrarias","Geomatica","Maestria",33
"Bogota","Ciencias agrarias","Agronomia","Maestria",28
"Bogota","Ciencias agrarias","Geomantica","Maestria",21
"Bogota","Ciencias agrarias","Gestion Y Desarrollo Rural","Maestria",2
"Bogota","Ciencias agrarias","Ingenieria Agronomica","Pregrado",808
"Bogota","Ciencias agrarias","Agronomia","Pregrado",80
"Bogota","Ciencias economicas","Ciencias Economicas","Doctorado",35
"Bogota","Ciencias economicas","Administracion","Maestria",454
"Bogota","Ciencias economicas","Ciencias Economicas","Maestria",444
"Bogota","Ciencias economicas","Medio Ambiente Y Desarrollo","Maestria",172
"Bogota","Ciencias economicas","Estudios Politicos","Maestria",118
"Bogota","Ciencias economicas","Contabilidad Y Finanzas","Maestria",34
"Bogota","Ciencias economicas","Administracion - Convenio Universidad Tecnologica Del Choco","Maestria",1
"Bogota","Ciencias economicas","Administracion De Empresas","Pregrado",1142
"Bogota","Ciencias economicas","Economia","Pregrado",1107
"Bogota","Ciencias economicas","Contaduria Publica","Pregrado",1039
"Bogota","Ciencias economicas","Ciencias Economicas","Pregrado",516
"Bogota","Ciencias humanas","Historia","Doctorado",42
"Bogota","Ciencias humanas","Filosofia","Doctorado",41
"Bogota","Ciencias humanas","Ciencias Humanas Y Sociales","Doctorado",17
"Bogota","Ciencias humanas","Antropologia","Doctorado",10
"Bogota","Ciencias humanas","Geografia","Doctorado",9
"Bogota","Ciencias humanas","Ciencias Humanas","Doctorado",4
"Bogota","Ciencias humanas","Psicologia","Doctorado",4
"Bogota","Ciencias humanas","Accion Sin Daño Y Construccion De Paz","Especializacion",211
"Bogota","Ciencias humanas","Analisis Espacial","Especializacion",108
"Bogota","Ciencias humanas","Estudios Feministas Y De Genero","Especializacion",58
"Bogota","Ciencias humanas","Estudios Feministas De Genero","Especializacion",41
"Bogota","Ciencias humanas","Ciencias Humanas","Especializacion",9
"Bogota","Ciencias humanas","Antropologia Forense","Especializacion",2
"Bogota","Ciencias humanas","Filosofia Politica","Especializacion",2
"Bogota","Ciencias humanas","Educacion","Maestria",291
"Bogota","Ciencias humanas","Psicologia","Maestria",159
"Bogota","Ciencias humanas","Filosofia","Maestria",118
"Bogota","Ciencias humanas","Historia","Maestria",114
"Bogota","Ciencias humanas","Estudios Literarios","Maestria",102
"Bogota","Ciencias humanas","Sociologia","Maestria",98
"Bogota","Ciencias humanas","Ciencias Humanas","Maestria",81
"Bogota","Ciencias humanas","Antropologia","Maestria",74
"Bogota","Ciencias humanas","Estudios Culturales","Maestria",73
"Bogota","Ciencias humanas","Linguistica","Maestria",63
"Bogota","Ciencias humanas","Estudios De Genero - Area Mujer Y Desarrollo","Maestria",60
"Bogota","Ciencias humanas","Comunicacion Y Medios","Maestria",54
"Bogota","Ciencias humanas","Psicoanalisis, Subjetividad Y Cultura (De Freud A Lacan)","Maestria",50
"Bogota","Ciencias humanas","Trabajo Social","Maestria",50
"Bogota","Ciencias humanas","Geografia","Maestria",49
"Bogota","Ciencias humanas","Estudios De Genero","Maestria",43
"Bogota","Ciencias humanas","Estudios Sociales De La Ciencia","Maestria",31
"Bogota","Ciencias humanas","Linguistica Convenio Universidad Tecnologica Del Choco","Maestria",2
"Bogota","Ciencias humanas","Psicologia","Pregrado",1134
"Bogota","Ciencias humanas","Filologia E Idiomas","Pregrado",842
"Bogota","Ciencias humanas","Antropologia","Pregrado",763
"Bogota","Ciencias humanas","Ciencias Humanas","Pregrado",709
"Bogota","Ciencias humanas","Sociologia","Pregrado",677
"Bogota","Ciencias humanas","Trabajo Social","Pregrado",567
"Bogota","Ciencias humanas","Filosofia","Pregrado",455
"Bogota","Ciencias humanas","Estudios Literarios","Pregrado",352
"Bogota","Ciencias humanas","Historia","Pregrado",331
"Bogota","Ciencias humanas","Geografia","Pregrado",301
"Bogota","Ciencias humanas","Linguistica","Pregrado",284
"Bogota","Ciencias humanas","Español Y Filologia Clasica","Pregrado",207
"Bogota","Ciencias humanas","Filologia E Idiomas Ingles","Pregrado",66
"Bogota","Ciencias humanas","Filologia E Idiomas Frances","Pregrado",41
"Bogota","Ciencias humanas","Filologia E Idiomas Aleman","Pregrado",26
"Bogota","Ciencias humanas","Literatura (Estudios Literarios)","Pregrado",17
"Bogota","Derecho, ciencias politicas y sociales","Derecho","Doctorado",24
"Bogota","Derecho, ciencias politicas y sociales","Estudios Politicos Y Relaciones Internacionales","Doctorado",18
"Bogota","Derecho, ciencias politicas y sociales","Derecho Administrativo","Especializacion",1802
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridico-Procesales","Especializacion",1076
"Bogota","Derecho, ciencias politicas y sociales","Derecho Constitucional","Especializacion",994
"Bogota","Derecho, ciencias politicas y sociales","Derecho Del Trabajo","Especializacion",595
"Bogota","Derecho, ciencias politicas y sociales","Derecho, Ciencias Politicas Y Sociales","Especializacion",505
"Bogota","Derecho, ciencias politicas y sociales","Derecho De Familia","Especializacion",434
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridico-Penales","Especializacion",393
"Bogota","Derecho, ciencias politicas y sociales","Analisis De Politicas Publicas","Especializacion",326
"Bogota","Derecho, ciencias politicas y sociales","Derecho Privado Economico","Especializacion",279
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridicas De La Seguridad Social","Especializacion",232
"Bogota","Derecho, ciencias politicas y sociales","Derechos Humanos Y Derecho Internacional Humanitario","Especializacion",231
"Bogota","Derecho, ciencias politicas y sociales","Mercados Y Politicas De Suelo En America Latina","Especializacion",215
"Bogota","Derecho, ciencias politicas y sociales","Justicia, Victimas Y Construccion De Paz","Especializacion",56
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridico Penales - Universidad De Nariño","Especializacion",2
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridico-Procesales -Universidad De Nariño","Especializacion",1
"Bogota","Derecho, ciencias politicas y sociales","Instituciones Juridico-Procesales Convenio Univ. Choco","Especializacion",1
"Bogota","Derecho, ciencias politicas y sociales","Derecho","Maestria",509
"Bogota","Derecho, ciencias politicas y sociales","Politicas Publicas","Maestria",62
"Bogota","Derecho, ciencias politicas y sociales","Estudios Politicos Latinoamericanos","Maestria",30
"Bogota","Derecho, ciencias politicas y sociales","Biociencias Y Derecho","Maestria",24
"Bogota","Derecho, ciencias politicas y sociales","Derecho, Ciencias Politicas Y Sociales","Maestria",23
"Bogota","Derecho, ciencias politicas y sociales","Estudios Politicos","Maestria",9
"Bogota","Derecho, ciencias politicas y sociales","Derecho","Pregrado",1162
"Bogota","Derecho, ciencias politicas y sociales","Ciencia Politica","Pregrado",1026
"Bogota","Derecho, ciencias politicas y sociales","Derecho, Ciencias Politicas Y Sociales","Pregrado",262
"Bogota","Enfermeria","Enfermeria","Doctorado",40
"Bogota","Enfermeria","Enfermeria Cardiorrespiratoria","Especializacion",107
"Bogota","Enfermeria","Salud Ocupacional","Especializacion",99
