"PROGRAMA","FACULTAD","TIPO_NIVEL","SEDE_NOMBRE_MAT","2009","2019"
"Administración De Empresas (Diurno)","Administración","Pregrado","Manizales",142,61
"Administración De Sistemas Informáticos","Administración","Pregrado","Manizales",77,42
"Arquitectura","Ingeniería y arquitectura","Pregrado","Manizales",70,62
"Gestion Cultural Y Comunicativa","Administración","Pregrado","Manizales",20,22
"Ingenieria Civil","Ingeniería y arquitectura","Pregrado","Manizales",93,76
"Ingenieria Electrica","Ingeniería y arquitectura","Pregrado","Manizales",92,93
"Ingenieria Electronica","Ingeniería y arquitectura","Pregrado","Manizales",87,52
"Ingenieria Fisica","Ciencias exactas y naturales","Pregrado","Manizales",28,21
"Ingenieria Industrial","Ingeniería y arquitectura","Pregrado","Manizales",110,59
"Ingenieria Quimica","Ingeniería y arquitectura","Pregrado","Manizales",50,64
"Matematicas","Ciencias exactas y naturales","Pregrado","Manizales",16,11
